Symbol,open,52_wk_low,52_wk_hi,volume,avg_volume,market_cap,PE_ratio,EPS_ratio,target
ATVI,91.89,50.51,104.53,3280695.0,5874988.0,72079000000.0,32.99,2.82,Near Fair Value
ADBE,443.45,255.13,536.88,2183051.0,2652949.0,212965000000.0,41.02,10.83,Near Fair Value
AMD,79.73,36.75,99.23,32937950.0,43387604.0,98177000000.0,39.27,2.06,Near Fair Value
ALXN,150.7,72.67,162.6,1665895.0,3406114.0,33327000000.0,55.73,2.72,Undervalued
ALGN,538.65,127.88,634.46,428365.0,579244.0,42450000000.0,23.94,22.41,Near Fair Value
GOOGL,2076.41,1008.87,2145.14,1690899.0,1796749.0,1386000000000.0,34.98,58.61,Overvalued
GOOG,2085.0,1013.54,2152.68,1658179.0,1603418.0,1386000000000.0,35.18,58.61,Overvalued
AMZN,3075.0,1626.03,3552.25,2421888.0,3737693.0,1556000000000.0,73.86,41.83,Near Fair Value
AEP,80.42,65.14,95.77,2637880.0,3134596.0,40249000000.0,18.33,4.42,Overvalued
AMGN,230.24,177.05,276.69,1635860.0,2553244.0,133048000000.0,18.71,12.31,Near Fair Value
ADI,148.6,79.08,164.4,3166636.0,2867644.0,55164000000.0,39.66,3.77,Overvalued
ANSS,316.56,203.71,413.19,547552.0,490062.0,27490000000.0,63.76,4.97,Overvalued
AAPL,120.4,53.15,145.09,88105050.0,111752167.0,2032000000000.0,32.83,3.69,Overvalued
AMAT,114.55,36.64,124.5,7426014.0,7991618.0,104879000000.0,27.34,4.18,Near Fair Value
ASML,534.12,191.25,608.71,714993.0,829596.0,222990000000.0,77.26,6.96,Overvalued
TEAM,231.74,110.01,262.4,1330811.0,1471257.0,57329000000.0,,-4.8,Overvalued
ADSK,270.07,125.38,321.13,902324.0,1435821.0,58954000000.0,49.28,5.44,Overvalued
ADP,180.72,103.11,184.59,1243099.0,1848513.0,78215000000.0,31.68,5.77,Overvalued
BIDU,264.11,82.0,354.82,6225834.0,11465159.0,88947000000.0,20.59,12.83,N/A
