,Company,Symbol,GICS Sector,GICS Sub-Industry
0,Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment
1,Adobe Inc.,ADBE,Information Technology,Application Software
2,Advanced Micro Devices,AMD,Information Technology,Semiconductors
3,Alexion Pharmaceuticals,ALXN,Health Care,Pharmaceuticals
4,Align Technology,ALGN,Health Care,Health Care Supplies
5,Alphabet Inc. (Class A),GOOGL,Communication Services,Interactive Media & Services
6,Alphabet Inc. (Class C),GOOG,Communication Services,Interactive Media & Services
7,Amazon.com,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
8,American Electric Power,AEP,Utilities,Electric Utilities
9,Amgen,AMGN,Health Care,Biotechnology
10,Analog Devices,ADI,Information Technology,Semiconductors
11,Ansys,ANSS,Information Technology,Application Software
12,Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
13,"Applied Materials, Inc.",AMAT,Information Technology,Semiconductor Equipment
14,ASML Holding,ASML,Information Technology,Semiconductor Equipment
15,Atlassian,TEAM,Information Technology,Application Software
16,Autodesk,ADSK,Information Technology,Application Software
17,"Automatic Data Processing, Inc.",ADP,Information Technology,Data Processing & Outsourced Services
18,Baidu,BIDU,Communication Services,Interactive Media & Services
19,Biogen,BIIB,Health Care,Biotechnology
20,Booking Holdings,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail
21,Broadcom Inc.,AVGO,Information Technology,Semiconductors
22,Cadence Design Systems,CDNS,Information Technology,Application Software
23,CDW,CDW,Information Technology,Technology Distributors
24,Cerner Corporation,CERN,Health Care,Health Care Technology
25,"Charter Communications, Inc.",CHTR,Communication Services,Cable & Satellite
26,Check Point Software Technologies Ltd.,CHKP,Information Technology,Application Software
27,Cintas Corporation,CTAS,Industrials,Diversified Support Services
28,Cisco Systems,CSCO,Information Technology,Communications Equipment
29,Cognizant Technology Solutions Corporation,CTSH,Information Technology,IT Consulting & Other Services
30,Comcast Corporation,CMCSA,Communication Services,Cable & Satellite
31,Copart,CPRT,Industrials,Diversified Support Services
32,Costco Wholesale Corporation,COST,Consumer Staples,Hypermarkets & Super Centers
33,CSX Corporation,CSX,Industrials,Railroads
34,DexCom,DXCM,Health Care,Health Care Equipment
35,DocuSign,DOCU,Information Technology,Application Software
36,"Dollar Tree, Inc.",DLTR,Consumer Discretionary,General Merchandise Stores
37,eBay Inc.,EBAY,Consumer Discretionary,Internet & Direct Marketing Retail
38,Electronic Arts,EA,Communication Services,Interactive Home Entertainment
39,Exelon Corporation,EXC,Utilities,Multi-Utilities
40,"Facebook, Inc.",FB,Communication Services,Interactive Media & Services
41,Fastenal Company,FAST,Industrials,Building Products
42,"Fiserv, Inc.",FISV,Information Technology,Data Processing & Outsourced Services
43,Fox Corporation (Class A),FOXA,Communication Services,Movies & Entertainment
44,Fox Corporation (Class B),FOX,Communication Services,Movies & Entertainment
45,"Gilead Sciences, Inc.",GILD,Health Care,Biotechnology
46,Idexx Laboratories,IDXX,Health Care,Health Care Equipment
47,"Illumina, Inc.",ILMN,Health Care,Life Sciences Tools & Services
48,Incyte Corporation,INCY,Health Care,Biotechnology
49,Intel Corporation,INTC,Information Technology,Semiconductors
50,Intuit,INTU,Information Technology,Application Software
51,Intuitive Surgical,ISRG,Health Care,Health Care Equipment
52,JD.com,JD,Consumer Discretionary,Internet & Direct Marketing Retail
53,Keurig Dr Pepper Inc.,KDP,Consumer Staples,Soft Drinks
54,KLA Corporation,KLAC,Information Technology,Semiconductor Equipment
55,Kraft Heinz Co,KHC,Consumer Staples,Packaged Foods & Meats
56,Lam Research,LRCX,Information Technology,Semiconductor Equipment
57,Lululemon Athletica,LULU,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
58,Marriott International,MAR,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
59,Marvell Technology Group,MRVL,Information Technology,Application Software
60,Match Group,MTCH,Communication Services,Interactive Media & Services
