,Symbol
0,ATVI
1,ADBE
2,AMD
3,ALXN
4,ALGN
5,GOOGL
6,GOOG
7,AMZN
8,AEP
9,AMGN
10,ADI
11,ANSS
12,AAPL
13,AMAT
14,ASML
15,TEAM
16,ADSK
17,ADP
18,BIDU
19,BIIB
20,BKNG
21,AVGO
22,CDNS
23,CDW
24,CERN
25,CHTR
26,CHKP
27,CTAS
28,CSCO
29,CTSH
30,CMCSA
31,CPRT
32,COST
33,CSX
34,DXCM
35,DOCU
36,DLTR
37,EBAY
38,EA
39,EXC
40,FB
41,FAST
42,FISV
43,FOXA
44,FOX
45,GILD
46,IDXX
47,ILMN
48,INCY
49,INTC
50,INTU
51,ISRG
52,JD
53,KDP
54,KLAC
55,KHC
56,LRCX
57,LULU
58,MAR
59,MRVL
60,MTCH
61,MXIM
62,MELI
63,MCHP
64,MU
65,MSFT
66,MRNA
67,MDLZ
68,MNST
69,NTES
70,NFLX
71,NVDA
72,NXPI
73,ORLY
74,OKTA
75,PCAR
76,PAYX
77,PYPL
78,PTON
79,PEP
80,PDD
81,QCOM
82,REGN
83,ROST
84,SGEN
85,SIRI
86,SWKS
87,SPLK
88,SBUX
89,SNPS
90,TMUS
91,TSLA
92,TXN
93,TCOM
94,VRSN
95,VRSK
96,VRTX
97,WBA
98,WDAY
99,XEL
100,XLNX
101,ZM
