Symbol,open,52_wk_low,52_wk_hi,volume,avg_volume,market_cap,PE_ratio,EPS_ratio,target
ATVI,90.07,50.51,92.99,4409111.0,6510317.0,70562000000.0,32.05,2.85,Overvalued
ADBE,480.0,255.13,536.88,2266132.0,2510958.0,232712000000.0,44.79,10.83,Overvalued
AMD,95.98,36.75,97.98,39520899.0,45555233.0,113881000000.0,128.16,0.74,Overvalued
ALXN,156.79,72.67,160.03,2861609.0,2414704.0,34416000000.0,36.52,4.31,Undervalued
ALGN,561.63,127.88,579.04,464242.0,683792.0,44987000000.0,25.96,21.98,Near Fair Value
GOOGL,1777.16,1008.87,1843.83,1774226.0,1661731.0,1220000000000.0,34.74,51.75,Undervalued
GOOG,1787.98,1013.54,1847.2,2000779.0,1690557.0,1218000000000.0,34.92,51.75,Undervalued
AMZN,3180.0,1626.03,3552.25,3461630.0,4378366.0,1597000000000.0,93.06,34.2,Near Fair Value
AEP,79.67,65.14,104.97,3059851.0,2837688.0,39304000000.0,20.5,3.86,Overvalued
AMGN,235.53,177.05,264.97,2511396.0,2587042.0,138841000000.0,19.23,12.4,Near Fair Value
ADI,156.02,79.08,159.81,3991159.0,2625069.0,57913000000.0,47.79,3.28,Overvalued
ANSS,366.56,200.07,375.78,497712.0,399044.0,32177000000.0,85.17,4.4,Overvalued
AAPL,132.43,53.15,138.79,105158245.0,114621179.0,2222000000000.0,40.26,3.28,Overvalued
AMAT,96.29,36.64,97.79,8671887.0,6945138.0,87375000000.0,24.38,3.92,Overvalued
ASML,512.59,191.25,514.27,721253.0,721114.0,212110000000.0,73.11,6.96,Overvalued
TEAM,236.0,110.01,250.03,804166.0,1821138.0,58682000000.0,,-1.8,Overvalued
ADSK,316.41,125.38,320.43,1196778.0,1436404.0,70331000000.0,165.9,1.93,Overvalued
ADP,168.97,103.11,182.32,2136764.0,1735069.0,73349000000.0,29.69,5.76,Overvalued
BIDU,227.06,82.0,241.0,22768851.0,6106904.0,81944000000.0,18.72,12.83,Overvalued
BIIB,249.88,223.25,374.99,988789.0,1680128.0,38861000000.0,8.31,30.38,Undervalued
BKNG,2256.34,1107.29,2289.98,310544.0,373746.0,93440000000.0,67.73,33.69,Near Fair Value
AVGO,447.0,155.67,449.99,1527347.0,1644863.0,181248000000.0,70.42,6.33,Near Fair Value
