Symbol,open,52_wk_low,52_wk_hi,volume,avg_volume,market_cap,PE_ratio,EPS_ratio,target
ATVI,93.56,50.51,104.53,4552788.0,5846123.0,72269000000.0,33.08,2.82,Undervalued
ADBE,452.01,255.13,536.88,2528657.0,2632633.0,215956000000.0,41.6,10.83,Undervalued
AMD,83.66,36.75,99.23,42971552.0,43073091.0,100237000000.0,40.09,2.06,Undervalued
ALXN,154.2,75.57,162.6,4655730.0,3017306.0,33718000000.000004,56.39,2.72,Undervalued
ALGN,566.41,127.88,634.46,482020.0,585757.0,42933000000.0,24.21,22.41,Undervalued
GOOGL,2065.99,1008.87,2145.14,1526368.0,1811540.0,1409000000000.0,35.55,58.61,Overvalued
GOOG,2078.99,1013.54,2152.68,1491564.0,1605525.0,1406000000000.0,35.7,58.61,Overvalued
AMZN,3104.97,1689.24,3552.25,2538764.0,3737623.0,1557000000000.0,73.91,41.83,Undervalued
AEP,81.8,65.14,95.77,5104284.0,3153498.0,41471000000.0,18.89,4.42,Overvalued
AMGN,238.12,177.05,276.69,3386304.0,2547061.0,138801000000.0,19.52,12.31,Undervalued
ADI,152.34,79.08,164.4,2324553.0,2884023.0,56470000000.0,40.59,3.77,Overvalued
ANSS,329.96,203.71,413.19,575119.0,492367.0,28696000000.0,66.56,4.97,Overvalued
AAPL,125.7,53.15,145.09,115227936.0,111527549.0,2108000000000.0,34.06,3.69,Overvalued
AMAT,117.03,36.64,124.5,10208483.0,8048854.0,108743000000.0,28.34,4.18,Undervalued
ASML,546.38,191.25,608.71,651569.0,837615.0,227863000000.0,78.95,6.96,Overvalued
TEAM,237.35,111.91,262.4,1076847.0,1457889.0,58987000000.0,,-4.8,Overvalued
ADSK,275.21,125.38,321.13,1041336.0,1438023.0,60472000000.0,50.55,5.44,Overvalued
ADP,188.75,103.11,190.38,2017069.0,1838362.0,80573000000.0,32.63,5.77,Overvalued
BIDU,264.01,82.0,354.82,7172582.0,11445510.0,89798000000.0,20.79,12.83,Overvalued
BIIB,261.81,223.25,363.92,1421614.0,1310189.0,39595000000.0,10.48,24.8,Overvalued
BKNG,2416.35,1107.29,2450.26,360674.0,383872.0,98167000000.0,1664.28,1.44,Overvalued
AVGO,471.27,155.67,495.14,3119015.0,1879574.0,195205000000.0,55.3,8.65,Overvalued
CDNS,130.31,51.39,149.08,1107919.0,1762684.0,36096000000.0,61.32,2.11,Overvalued
CDW,162.13,73.39,162.73,524727.0,858371.0,22695000000.0,29.54,5.45,Undervalued
CERN,72.88,53.08,84.2,2420547.0,2270937.0,22114000000.0,28.65,2.52,Overvalued
CHTR,629.62,345.67,681.71,1086896.0,1223706.0,123920000000.0,41.54,15.4,Overvalued
CHKP,117.11,83.72,139.26,1109698.0,1506738.0,16539000000.000002,19.79,5.96,Overvalued
CTAS,350.65,154.33,369.2,426510.0,488586.0,36545000000.0,39.03,8.91,Overvalued
CSCO,49.19,33.31,49.74,17282260.0,20401886.0,209696000000.0,20.78,2.39,Undervalued
CTSH,79.01,40.01,82.73,2201539.0,2883003.0,41420000000.0,30.37,2.57,Overvalued
CMCSA,57.59,31.71,58.58,13505188.0,18109523.0,265862000000.00003,25.46,2.28,Overvalued
CPRT,111.94,55.69,130.96,679079.0,1199288.0,25766000000.0,36.95,2.95,Undervalued
COST,329.67,278.42,393.15,2990664.0,2885084.0,144819000000.0,33.46,9.78,Overvalued
CSX,93.77,46.81,97.54,3024678.0,3749886.0,70105000000.0,25.54,3.6,Overvalued
DXCM,366.97,182.07,456.23,779597.0,863850.0,34109000000.0,70.09,5.06,Overvalued
DOCU,221.68,65.61,290.23,3192881.0,3371032.0,40390000000.0,,-1.31,Overvalued
DLTR,109.42,60.2,115.45,1099645.0,1978010.0,25645000000.0,19.3,5.65,Overvalued
EBAY,57.3,26.02,64.85,5386159.0,7857255.0,39071000000.0,7.28,7.89,Overvalued
EA,132.46,85.92,150.3,1819435.0,2867627.0,37892000000.0,32.57,4.05,Overvalued
EXC,43.1,29.28,46.02,5217487.0,5108091.0,42334000000.0,21.57,2.01,Overvalued
FB,276.08,137.1,304.67,22437665.0,19605764.0,795297000000.0,27.68,10.09,Undervalued
FAST,48.03,26.72,51.89,3649034.0,3191274.0,27408000000.0,32.03,1.49,Overvalued
FISV,124.32,73.5,126.25,2523628.0,4652594.0,83093000000.0,88.66,1.4,Overvalued
FOXA,43.11,19.81,44.8,5094517.0,5756103.0,25355000000.0,17.48,2.53,Overvalued
FOX,40.88,19.13,42.14,1527511.0,1754894.0,25435000000.0,16.4,2.53,Overvalued
GILD,63.24,56.56,85.97,7375816.0,9306288.0,80434000000.0,653.16,0.1,Undervalued
IDXX,520.0,168.65,573.99,318103.0,451849.0,43304000000.0,75.55,6.71,Overvalued
ILMN,421.06,196.78,555.77,1086788.0,1106818.0,61209000000.0,94.28,4.45,Overvalued
INCY,81.38,62.48,110.37,789470.0,1239584.0,17649000000.0,,-1.36,Overvalued
INTC,64.15,43.61,65.73,30186635.0,38103886.0,263201000000.00003,13.11,4.94,Undervalued
INTU,400.51,187.68,423.74,1077263.0,1378474.0,108282000000.0,60.34,6.55,Overvalued
ISRG,740.41,360.5,826.81,425825.0,600962.0,86017000000.0,82.38,8.82,Overvalued
JD,85.13,35.55,108.29,10145195.0,11178125.0,140512000000.0,583.4,0.15,Overvalued
KDP,33.68,18.98,34.23,7239467.0,4647813.0,47967000000.0,36.65,0.93,Overvalued
KLAC,299.72,110.19,342.21,1544177.0,1214000.0,46523000000.0,34.54,8.74,Undervalued
KHC,38.63,20.67,39.71,6494800.0,7210686.0,47386000000.0,133.59,0.29,Overvalued
LRCX,542.51,181.38,603.6,1484357.0,1606355.0,78196000000.0,27.17,20.14,Undervalued
LULU,315.55,128.85,399.9,1145624.0,1501811.0,40242000000.0,72.46,4.26,Undervalued
MAR,153.56,46.56,159.98,1720086.0,2567284.0,48866000000.0,,-0.82,Overvalued
MRVL,48.73,16.45,55.7,8726398.0,10893523.0,32406000000.0,,-0.41,Overvalued
MTCH,155.72,35.58,174.68,1486261.0,2871227.0,41473000000.0,315.96,0.49,Overvalued
MXIM,89.91,41.93,98.44,1599492.0,1991372.0,24175000000.0,33.63,2.68,Overvalued
MELI,1600.8,422.22,2020.0,400383.0,593172.0,77322000000.0,,-0.08,Overvalued
