Symbol,open,52_wk_low,52_wk_hi,volume,avg_volume,market_cap,PE_ratio,EPS_ratio,target
MMM,174.12,114.04,182.55,1779190.0,2324304.0,100823000000.0,20.5,8.53,Overvalued
ABT,108.17,61.61,115.14,2779390.0,4760728.0,194056000000.0,57.9,1.89,Overvalued
ABBV,105.26,62.55,109.15,5690813.0,8076007.0,189170000000.0,23.44,4.57,Overvalued
ABMD,324.38,119.01,328.83,229004.0,288245.0,14651000000.0,71.25,4.55,Near Fair Value
ACN,257.6,137.15,271.18,1261375.0,1853069.0,173068000000.0,32.15,8.12,Overvalued
ATVI,91.74,50.51,92.99,4311046.0,6489270.0,71760000000.0,32.59,2.85,Overvalued
ADBE,497.99,255.13,536.88,1337593.0,2446976.0,239917000000.0,46.18,10.83,Overvalued
AMD,92.1,36.75,97.98,24930684.0,45890937.0,110425000000.0,124.27,0.74,Overvalued
AAP,157.07,71.33,170.5,557379.0,900454.0,10688000000.0,22.93,6.87,Overvalued
AES,22.91,8.11,23.62,3951723.0,5475154.0,15631000000.0,,-0.53,Overvalued
AFL,44.01,23.07,53.46,2097994.0,3806745.0,31238000000.0,7.0,6.36,Near Fair Value
A,117.59,61.13,120.24,1267814.0,1556507.0,36359000000.0,51.52,2.3,Overvalued
APD,269.42,167.43,327.89,775977.0,1219309.0,60395000000.0,32.2,8.49,Overvalued
AKAM,104.81,75.18,120.0,815257.0,1559425.0,17091999999.999998,30.78,3.41,Near Fair Value
ALK,52.61,20.02,67.59,1090162.0,2133845.0,6431000000.0,,-5.65,Overvalued
ALB,148.76,48.89,153.48,766878.0,1196659.0,15705000000.0,41.09,3.59,Near Fair Value
ARE,174.93,109.22,179.79,461501.0,750968.0,24050000000.0,41.42,4.3,Near Fair Value
ALXN,155.81,72.67,160.03,1242649.0,2425020.0,34173000000.0,36.26,4.31,Undervalued
ALGN,526.87,127.88,543.65,320897.0,690998.0,42136000000.0,24.32,21.98,Overvalued
ALLE,115.21,77.37,139.24,358857.0,723926.0,10711000000.0,35.93,3.24,Overvalued
LNT,50.49,37.66,60.28,833337.0,1202021.0,12870000000.0,19.18,2.69,Overvalued
ALL,108.17,64.13,125.92,933248.0,1895739.0,33426000000.000004,7.7,14.28,Undervalued
GOOGL,1737.27,1008.87,1843.83,1053479.0,1636985.0,1185000000000.0,33.87,51.75,Undervalued
GOOG,1735.42,1013.54,1847.2,975939.0,1652489.0,1185000000000.0,33.85,51.75,Undervalued
MO,40.63,30.95,51.78,7163873.0,9151159.0,76195000000.0,106.77,0.38,Overvalued
AMZN,3275.0,1626.03,3552.25,2957206.0,4438819.0,1634000000000.0,95.23,34.2,Overvalued
AMCR,11.81,5.8,12.4,2718284.0,5338098.0,18461000000.0,37.6,0.31,Overvalued
AEE,77.26,58.74,87.66,779830.0,1308829.0,19297000000.0,22.8,3.42,Overvalued
AAL,16.08,8.25,30.78,57891084.0,77153666.0,9632000000.0,,-14.0,Undervalued
AEP,81.53,65.14,104.97,1778627.0,2876928.0,41334000000.0,21.56,3.86,Overvalued
AXP,119.71,67.0,138.13,1678158.0,4075840.0,97357000000.0,29.77,4.06,Near Fair Value
AIG,37.53,16.07,56.42,2816843.0,5727559.0,32616999999.999996,,-5.72,Near Fair Value
AMT,219.76,174.32,272.2,1617430.0,2040059.0,99708000000.0,53.06,4.23,Near Fair Value
AWK,150.59,92.0,172.56,474543.0,828753.0,27820000000.0,42.05,3.65,Overvalued
AMP,191.21,80.01,198.16,404436.0,649096.0,22927000000.0,13.64,14.25,Near Fair Value
ABC,96.75,72.06,111.25,513156.0,964200.0,19967000000.0,,-16.65,Overvalued
AME,120.1,54.82,121.69,609565.0,941179.0,27824000000.0,31.99,3.78,Overvalued
